Datetime,Frequency (kHz),Capacitance (nF)
2024-02-28 19:13:04,0.0,98.346672
2024-02-28 19:13:04,3.28587,98.346672
2024-02-28 19:13:05,3.28587,97.386672
2024-02-28 19:13:05,3.097573,97.386672
2024-02-28 19:13:05,3.097573,103.30668
2024-02-28 19:13:05,3.284072,103.30668
2024-02-28 19:13:05,3.284072,97.44
2024-02-28 19:13:06,3.291278,97.44
2024-02-28 19:13:06,3.291278,97.22668
2024-02-28 19:13:06,3.131523,97.22668
2024-02-28 19:13:06,3.131523,102.18667
2024-02-28 19:13:06,3.28587,102.18667
2024-02-28 19:13:07,3.28587,97.386672
2024-02-28 19:13:07,3.224073,97.386672
2024-02-28 19:13:07,3.224073,99.25332
2024-02-28 19:13:07,3.280481,99.25332
2024-02-28 19:13:08,3.280481,97.54668
2024-02-28 19:13:08,3.259098,97.54668
2024-02-28 19:13:08,3.259098,98.186672
2024-02-28 19:13:08,3.266194,98.186672
2024-02-28 19:13:08,3.266194,97.973344
2024-02-28 19:13:09,3.28767,97.973344
2024-02-28 19:13:09,3.28767,97.333344
2024-02-28 19:13:09,3.280481,97.333344
2024-02-28 19:13:09,3.280481,97.54668
2024-02-28 19:13:09,3.273322,97.54668
2024-02-28 19:13:10,3.273322,97.76
2024-02-28 19:13:10,3.266194,97.76
2024-02-28 19:13:10,3.266194,97.973344
2024-02-28 19:13:10,3.250271,97.973344
2024-02-28 19:13:10,3.250271,98.453328
2024-02-28 19:13:11,3.28587,98.453328
2024-02-28 19:13:11,3.28587,97.386672
2024-02-28 19:13:11,3.273322,97.386672
2024-02-28 19:13:11,3.273322,97.76
2024-02-28 19:13:12,3.291278,97.76
2024-02-28 19:13:12,3.291278,97.22668
2024-02-28 19:13:12,3.271537,97.22668
2024-02-28 19:13:12,3.271537,97.813328
2024-02-28 19:13:12,3.282275,97.813328
2024-02-28 19:13:13,3.282275,97.493328
2024-02-28 19:13:13,3.257328,97.493328
2024-02-28 19:13:13,3.257328,98.24
